序号[l][#]	道具名称[l][#]	描述[l]	短描述	使用和产出说明	作用效果[l]	每日限制使用次数[l]	道具类型，根据效果分类[l][#]	转生次数[l]	使用等级[l]	使用者类型[l]	职业限制	物品等级[l]	出售价格[l]	道具品质[l][#]	道具图标[l]	掉落图标[l][#]	叠加上限[l]	无法丢弃摧毁(0可以、1不可以)[l]	有效时间（单位分钟）[l]	是否广播[l]	广播id	界面显示道具品质[l]	是否掉落公告	是否可使用[l]	英雄使用等级	神龙遗迹内是否可使用[l]（0是可以，1是不可以）	掉落特效[#]	红点特效[l]	排序(从大到小)	获得后自动使用[l]	背包类型（0普通1印记）[l]
10	精英积分	#bfbfbf|【货币】|n|#bfbfbf|增加精英积分，可在神秘商店兑换物品|n|#4ba0de|【精英怪物】			1	0	10	0	0	0	0	0	0	2	jfjy	jfjy	1	0	0	0	0	2	0	0	0	0	0	0	19992	0	0
11	BOSS积分	#bfbfbf|【货币】|n|#bfbfbf|增加BOSS积分，可在神秘商店兑换物品|n|#4ba0de|【BOSS怪物、行会秘境、行会BOSS、全民乱斗】			1	0	11	0	0	0	0	0	0	4	jfbs	jfbs	1	0	0	0	0	4	0	0	0	0	0	0	19993	0	0
12	领主积分	#bfbfbf|【货币】|n|#bfbfbf|增加领主积分，可在神秘商店兑换物品|n|#4ba0de|【领主怪物、行会秘境、行会BOSS、全民乱斗、屠魔禁地】			1	0	12	0	0	0	0	0	0	6	jflz	jflz	1	0	0	0	0	6	0	0	0	0	0	0	19994	0	0
13	金铁精华	#bfbfbf|【货币】|n|#bfbfbf|用于提升名器等级|n|#4ba0de|【名器投资、活跃度】			1	0	13	0	0	0	0	0	0	6	jintie2	jintie2	1	0	0	0	0	6	0	0	0	0	0	0	19989	0	0
15	绑定灵符	#bfbfbf|【货币】|n|#bfbfbf|打怪掉落获得，可在商城中购买道具，|#cd1805|1元=100绑定灵符|n|#4ba0de|【怪物掉落】			1	0	15	0	0	0	0	0	0	6	bdlf	bdlf	1	0	0	0	0	6	0	0	0	0	0	0	19985	0	0
100	一一强化&宝石					0	0	0	0	0	0	1	0	0	ng	ng	1	0	0	0	0	0	0	0	0	0	0	0	19900	0	0
101	祝福宝石	#ffc000|【强化石】|n|#bfbfbf|用于将装备强化到|#00ff00| +1|#bfbfbf| 至 |#00ff00|+12 |#bfbfbf||n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-装备强化 |#bfbfbf|处|n|#2ca0f1|【商城购买、装备分解】	#bfbfbf|用于装备强化	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	101	0	0	0	0	0	1	5	001374	001374	9999	0	0	0	0	5	1	0	0	0	0	0	19899	0	0
102	灵魂宝石	#ffc000|【强化石】|n|#bfbfbf|装备强化|#00ff00| +6及以上 |#bfbfbf|时需要消耗。|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-装备强化 |#bfbfbf|处|n|#2ca0f1|【商城购买】	#bfbfbf|用于装备强化	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	101	0	0	0	0	0	1	6	002574	002574	9999	0	0	0	0	6	1	0	0	0	0	0	19898	0	0
103	装备保护油	#ffc000|【强化石】|n|#bfbfbf|装备强化|#00ff00| +7及以上 |#bfbfbf|时，可防止该装备在强化失败时破碎。|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-装备强化 |#bfbfbf|处|n|#2ca0f1|【商城购买】	#bfbfbf|用于装备位强化	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	101	0	0	0	0	0	1	26	000027	000027	999	0	0	0	0	26	1	0	0	0	0	0	19897	0	0
104	强化转移符	#ffc000|【强化转移】|n|#bfbfbf|用于将+5以上装备当前强化等级转移到目标装备上。|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-强化转移 |#bfbfbf|处|n|#2ca0f1|【神秘商店、寻宝积分兑换、成长礼包】	#bfbfbf|用于转移装备强化等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	104	0	0	0	0	0	1	26	qhzyf	qhzyf	999	0	0	0	0	26	1	0	0	0	0	0	19896	0	0
110	太阳石	#ffc000|【洗炼石】|n|#bfbfbf|用于角色/英雄装备|#00b709|武器、手镯和戒指部位|#bfbfbf|的元素|#00b709|洗炼。|n|#bfbfbf|双击道具可快速打开|#00ffd2| 洗炼 |#bfbfbf|面板|n|#bfbfbf|开服达到15天且转生到达6转可使用|n|#2ca0f1|【武器衣服生肖星座装备分解、商城购买】	#bfbfbf|用于攻击装备位洗练	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	110	0	0	0	0	0	1	25	tys_yang	tys_yang	9999	0	0	0	0	25	1	0	0	0	0	0	19890	0	0
111	虚空石	#ffc000|【精炼石】|n|#bfbfbf|用于将洗炼至10星的|#00b709|武器、手镯和戒指部位|#bfbfbf|元素属性进行极致洗炼。|n|#bfbfbf|双击道具可快速打开|#00ffd2| 洗炼 |#bfbfbf|面板|n|#bfbfbf|开服达到15天且转生到达6转可使用|n|#4ba0de|【神秘商店、周末星座寻宝】	#bfbfbf|用于攻击装备位精炼	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	111	0	0	0	0	0	1	36	xks	xks	9999	0	0	0	0	36	1	0	0	0	0	0	19889	0	0
112	太阴石	#ffc000|【洗炼石】|n|#bfbfbf|用于角色/英雄装备|#00b709|衣服、头盔、项链、腰带和鞋子部位|#bfbfbf|的元素|#00b709|洗炼。|n|#bfbfbf|双击道具可快速打开|#00ffd2| 洗炼 |#bfbfbf|面板|n|#bfbfbf|开服达到15天且转生到达6转可使用|n|#2ca0f1|【饰品防具魔器神石装备分解、商城购买】	#bfbfbf|用于防御装备位洗练	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	110	0	0	0	0	0	1	25	tys_yin	tys_yin	9999	0	0	0	0	25	1	0	0	0	0	0	19888	0	0
113	混沌石	#ffc000|【精炼石】|n|#bfbfbf|用于将洗炼至10星的|#00b709|衣服、头盔、项链、腰带和鞋子部位|#bfbfbf|元素属性进行极致洗炼。|n|#bfbfbf|双击道具可快速打开|#00ffd2| 洗炼 |#bfbfbf|面板|n|#bfbfbf|开服达到15天且转生到达6转可使用|n|#4ba0de|【神秘商店、周末星座寻宝】	#bfbfbf|用于防御装备位精炼	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	111	0	0	0	0	0	1	36	hds	hds	9999	0	0	0	0	36	1	0	0	0	0	0	19887	0	0
124	阵灵石	#ffc000|【法阵材料】|n|#bfbfbf|用于提升|#00ff00|法阵 |#bfbfbf|等级，获得属性提升，激活法阵技能。|n|#bfbfbf|双击道具可快速前往第二大陆|#00ffd2| NPC-法阵大师 |#bfbfbf|处|n|#2ca0f4|【法阵秘境、商城购买】	#bfbfbf|用于提高法阵	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1110	0	0	0	0	0	1	26	icon_zls	icon_zls	9999	0	0	0	0	26	0	0	0	0	0	0	19876	0	0
130	烈火天罡剑	#ffc000|【神兵凭证】|n|#bfbfbf|用于激活|#00ff00| 神兵 |#bfbfbf|，获得属性提升，并可激活|#00ff00|刀刀吸血|#bfbfbf|技能。|n|#bfbfbf|双击道具可快速前往盟重省|#00ffd2| NPC-嗜血神剑 |#bfbfbf|处|n|#2ca0f4|【名扬四海赞助礼包、宝藏之地】	#bfbfbf|用于激活神兵	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1117	0	0	0	0	0	1	26	lhtg	lhtg	9999	0	0	0	0	26	0	0	0	0	0	0	19870	0	0
131	嗜血宝钻	#ffc000|【神兵材料】|n|#bfbfbf|用于提升|#00ff00| 神兵 |#bfbfbf|等级，获得属性提升，提升|#00ff00|刀刀吸血|#bfbfbf|技能等级。|n|#bfbfbf|双击道具可快速前往盟重省|#00ffd2| NPC-嗜血神剑 |#bfbfbf|处|n|#2ca0f4|【宝藏之地】	#bfbfbf|用于提高神兵	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1117	0	0	0	0	0	1	26	sbjp	sbjp	9999	0	0	0	0	26	0	0	0	0	0	0	19869	0	0
140	骰子	#ffc000|【骰王道具】|n|#bfbfbf|可用于投掷点数，每次掷骰子均会获得元宝，掷出“对子”“顺子”将获得更多元宝，若掷出“豹子”不仅奖励大量元宝，还将获得“骰王”属性，拥有爆率、攻速提升和“骰王之地”进入权限|n|#bfbfbf|双击道具可快速打开|#00ffd2| 活跃度-骰王 |#bfbfbf|界面|n|#2ca0f1|【活跃度奖励、商城元宝购买】	#bfbfbf|用于投掷点数获得奖励	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1124	0	0	0	0	0	1	26	tz	tz	999	0	0	0	0	26	1	0	0	0	0	0	19896	0	0
